"ZONE","ZONE_NAME","prot_area","prot_area_overlaps_removed"
"BG","Bunchgrass",8363671.48932585,8358801.8541154
"BWBS","Boreal White and Black Spruce",128949.909320138,128949.909320138
"CDF","Coastal Douglas-fir",12635728.1767541,12304662.6005076
"CWH","Coastal Western Hemlock",45810033.4826054,45799657.0277761
"ESSF","Engelmann Spruce -- Subalpine Fir",6083721.17377373,6083721.17377373
"ICH","Interior Cedar -- Hemlock",21805642.0823184,21188963.2416278
"IDF","Interior Douglas-fir",23354580.6890329,22647561.4678076
"MS","Montane Spruce",8112307.8483042,8112307.8483042
"PP","Ponderosa Pine",16963812.0764299,14583485.6127824
"SBS","Sub-Boreal Spruce",6932.62505046145,6932.62505046145
